chirp_mass,chirp_mass_source,mass_1,mass_2,mass_ratio,luminosity_distance,chi_eff
31.170379,29.419817,37.143815,34.524371,0.92947832,274.49892,0.011349144
30.79137,28.121013,43.599035,28.934637,0.66365315,448.88422,0.0023026753
30.526954,27.4906,37.899152,32.483678,0.85710829,527.50443,-0.10124685
32.389255,30.1205,40.680445,34.080642,0.83776472,351.33506,0.078117693
29.456625,27.288998,34.612328,33.081986,0.95578623,371.55275,-0.14936469
31.404481,27.838313,37.881379,34.369634,0.90729627,618.84755,-0.018145427
32.067044,28.381964,43.47187,31.377578,0.72179039,627.92964,0.062726136
31.031483,27.621572,36.131239,35.168192,0.97334588,594.59662,-0.1211783
29.390677,26.459288,37.494784,30.464555,0.81250115,529.23623,-0.15272733
30.78533,27.647338,38.741654,32.33187,0.83455058,543.1548,-0.028231801
31.030118,28.167346,37.370098,34.013155,0.91017034,482.58232,0.0093131758
30.755029,28.594365,41.376606,30.309901,0.73253714,352.51271,-0.0058557566
32.444229,30.46535,44.322383,31.519195,0.71113494,300.80177,0.12250389
28.339999,25.593947,39.972405,26.726755,0.66863013,511.36142,-0.26327557
31.321405,28.605897,41.938849,31.006391,0.73932383,448.72711,0.077606178
30.112186,28.028508,41.34565,29.115473,0.70419675,346.52346,-0.061659099
31.564812,27.891077,37.025473,35.51041,0.95908051,637.77736,-0.00021729836
31.279889,28.231096,37.560819,34.385606,0.91546477,514.94043,0.011819653
30.417123,27.024301,39.057484,31.332601,0.8022176,605.50795,-0.060790556
29.289616,27.269469,35.911265,31.548069,0.87850064,345.24721,-0.1614814
31.178953,27.943053,40.388766,31.849081,0.78856287,555.00696,-0.028354236
30.609995,27.7295,36.695506,33.704091,0.91848008,493.97159,-0.073582259
30.629507,28.75276,37.861666,32.730484,0.86447553,302.33589,-0.036627637
30.511833,27.806045,43.767047,28.331939,0.64733495,460.71636,-0.13722925
31.008456,28.558201,35.67232,35.566499,0.99703351,403.07974,-0.0057187021
30.736591,27.851459,38.47571,32.44642,0.8432962,492.50621,-0.010211667
28.220431,26.570545,36.567967,28.81823,0.78807307,286.97856,-0.24287026
30.899139,28.232875,44.491609,28.591594,0.64262891,446.26423,-0.040094121
28.323844,26.063483,37.574584,28.285731,0.75278891,407.6891,-0.29827235
29.906446,26.61164,34.602091,34.107019,0.98569242,596.46709,-0.12288048
30.663195,28.097054,39.981131,31.127817,0.77856269,430.68156,-0.036108254
29.872948,26.876732,38.313073,30.80715,0.80408977,532.77958,-0.042761363
31.20966,27.995563,38.982018,33.015983,0.84695418,549.87659,3.3887914e-05
30.742258,28.285375,43.867142,28.683643,0.65387536,408.36277,-0.050440906
30.638462,27.556008,36.426279,34.012082,0.93372373,534.7366,-0.043527106
28.802482,26.293981,46.31714,24.13242,0.5210257,451.11023,-0.13444463
30.430821,27.492654,36.619557,33.381993,0.91158919,509.20839,-0.083437209
30.971698,27.618642,38.18363,33.181242,0.86899129,583.97373,-0.023197862
30.058133,27.644966,37.787472,31.599608,0.83624562,410.50801,-0.09713855
29.683924,26.631482,37.653333,30.937688,0.82164539,548.9007,-0.12961173
30.986844,28.35804,39.216824,32.366328,0.82531741,437.54115,-0.049066418
30.158072,27.161186,36.761319,32.668592,0.88866756,526.9231,-0.1190864
30.598642,27.532703,39.680693,31.223505,0.78686894,532.14554,0.0096518791
29.409378,26.3801,38.258436,29.920264,0.78205664,550.00284,-0.15954103
30.194687,27.276551,35.410076,33.976862,0.95952527,509.78114,-0.062556338
